compound_name,num_experiments,num_species,num_taxa,num_pmids,median_effect,trimmed_mean_effect,sign_consistency,leave_one_species_out_stability,leave_one_taxon_out_stability,aggregation_stability,breadth_score,robustness_score,avg_significance_summary,max_significance_summary,taxa_present,species_present,pmids,evidence_tier,robust_flag,thin_evidence_reason,rank,empirical_p_value,null_exceedance_rate,null_z_score
D609,1,1,1,1,25.0,25.0,1.0,0.0,0.0,1.0,0.25,0.4625,S:1,blank:1,nematode,Caenorhabditis elegans,25437839,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,375,0.14385614385614387,0.143,0.5976208943085808
Nitrendipine,1,1,1,1,25.0,25.0,1.0,0.0,0.0,1.0,0.25,0.4625,S:1,blank:1,nematode,Caenorhabditis elegans,24134630,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,376,0.13886113886113885,0.138,0.5944836537419258
Oxatomide,1,1,1,1,25.0,25.0,1.0,0.0,0.0,1.0,0.25,0.4625,S:1,blank:1,nematode,Caenorhabditis elegans,24134630,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,377,0.17482517482517482,0.174,0.5530877868572246
Meclizine,2,1,1,1,5.5,5.5,1.0,0.0,0.0,1.0,0.3055555555555555,0.4624444444444445,S:2,NS:2,mammal,Mus musculus,38041783,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,378,0.2727272727272727,0.272,0.9350528873888987
Polyvinylpyrrotidone,2,1,1,1,5.5,5.5,1.0,0.0,0.0,1.0,0.3055555555555555,0.4624444444444445,NS:2,blank:2,insect,Drosophila melanogaster,4397875,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,379,0.32167832167832167,0.321,0.9164905985349526
Monorden,1,1,1,1,24.55,24.55,1.0,0.0,0.0,1.0,0.25,0.46205,S:1,blank:1,nematode,Caenorhabditis elegans,30970250,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,380,0.17082917082917082,0.17,0.6069023414074358
"(R/S)-1,3-butanediol",2,1,1,1,5.0,5.0,1.0,0.0,0.0,1.0,0.3055555555555555,0.4619444444444445,NS:1;S:1,NS:2,mammal,Mus musculus,36179270,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,381,0.2807192807192807,0.28,0.9614415089122912
Protandim,2,1,1,1,5.0,5.0,1.0,0.0,0.0,1.0,0.3055555555555555,0.4619444444444445,S:2,NS:2,mammal,Mus musculus,27312235,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,382,0.27172827172827174,0.271,0.988730496571774
ScopolamineNbutylbromide,2,1,1,1,4.645,4.645,1.0,0.0,0.0,1.0,0.3055555555555555,0.4615894444444445,NS:2,blank:2,insect,Drosophila melanogaster,33008901,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,383,0.3306693306693307,0.33,0.8882666098102296
Dihydroergotamine methanesulfonate,1,1,1,1,24.0,24.0,1.0,0.0,0.0,1.0,0.25,0.4615,S:1,blank:1,nematode,Caenorhabditis elegans,24134630,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,384,0.16983016983016982,0.169,0.592325065668701
